"sample_id","Population.name","population.abbreviation","Latitude","Longitude","Ecotype"
"S0097","Lake Onega","ONEG","61.75867","34.46461","freshwater"
"S0098","Nancy Lake","NANCY","61.6847","-150","freshwater"
"S0099","South Rolly Lake","SORO","61.66675","-150.13686","freshwater"
"S0100","Walby ","WALBY","61.62033","-149.21347","freshwater"
"S0101","Toad ","TOAD ","61.62003","-149.69892","freshwater"
"S0102","Visnaw Lake","VISNA","61.6194","-149.6769","freshwater"
"S0103","Walby Lake","WAL","61.6194","-149.2111","freshwater"
"S0104","Seymour ","SEYM","61.61464","-149.66425","freshwater"
"S0105","Bear Paw","BEPA","61.6139","-149.7556","freshwater"
"S0106","Bruce","BRUCE","61.6111","-149.55","freshwater"
"S0107","Finger Lake","FING","61.60953","-149.2645","freshwater"
"S0108","Cottonwood Creek","COTC","61.58239","-149.39561","freshwater"
"S0109","Wasilla Lake","WASIL","61.5815","-149.4277","freshwater"
"S0110","Long Lake","LONG","61.57558","-149.77372","freshwater"
"S0111","Corcoran Lake","CORC","61.573","-149.693","freshwater"
"S0112","Lynda Lake","LYNDA","61.5708","-149.8356","freshwater"
"S0113","Lynda ","LYND ","61.5704","-149.84021","freshwater"
"S0114","Luci ","LUCI ","61.56998","-149.48146","freshwater"
"S0115","Little Meadow Creek","LIMC","61.5691","-149.7604","freshwater"
"S0116","Lucille Creek","LUCIC","61.56256","-149.60211","freshwater"
"S0117","Mud Lake Resident","MUDR","61.5625","-148.9486","freshwater"
"S0118","Mud Lake Anadromous","MUDA","61.5625","-148.9486","marine"
"S0119","Big Lake","BIG","61.5345","-149.8269","freshwater"
"S0120","Rabbit Slough","RABBI","61.534","-149.268","marine"
"S0121","Big ","BIGL ","61.53302","-149.83439","freshwater"
"S0122","Jade ","JADE ","61.52479","-149.86708","freshwater"
"S0123","Crocker Creek","CROC","61.51225","-149.62808","freshwater"
"S0124","Barley ","BARL ","61.36114","-150.08367","freshwater"
"S0125","Goose Creek","GOOSC","61.31408","-150.03025","freshwater"
"S0126","L26","L26","61.25333","-45.52914","freshwater"
"S0127","East Fjord","East.Fjord","61.24254","-45.51642","marine-freshwater"
"S0128","ERL125","ERL125","61.15686","-45.6364","freshwater"
"S0129","ERL006","ERL006","61.14604","-45.52882","freshwater"
"S0130","ERL084","ERL084","61.13811","-45.58685","freshwater"
"S0131","ERL033","ERL033","61.11837","-45.58085","freshwater"
"S0132","Coastal Lagoon","Coastal.Lagoon","61.11536","-45.63875","marine-freshwater"
"S0133","ERL067","ERL067","61.09005","-45.6539","freshwater"
"S0134","ERL137","ERL137","61.08536","-45.74824","freshwater"
"S0135","ERL138","ERL138","61.0847","-45.73247","freshwater"
"S0136","ERL001","ERL001","61.07158","-45.60447","freshwater"
"S0137","TULX11","TULX11","60.8669","-46.49325","freshwater"
"S0138","TUL8","TUL8","60.85044","-46.49379","freshwater"
"S0139","TUP19","TUP19","60.82461","-46.5022","freshwater"
"S0140","Tuttutooq","Tuttutooq","60.81938","-46.46024","marine"
"S0141","Stormy Lake","STORM","60.7708","-151.0472","freshwater"
"S0142","Eqakuit Farm River","EQA","60.76034","-45.54507","freshwater"
"S0143","Arrow ","ARRO ","60.75036","-150.48919","freshwater"
"S0144","Daniel ","DANI ","60.72466","-151.18055","freshwater"
"S0145","Wik Lake","WIK","60.71744","-151.24175","freshwater"
"S0146","Community ","COMM ","60.70242","-151.3837","freshwater"
"S0147","Duck ","DUCK ","60.68537","-151.22373","freshwater"
"S0148","Arness ","ARNE ","60.64604","-151.30204","freshwater"
"S0149","Spirit Lake","SPIR","60.60031","-151.01256","freshwater"
"S0150","Watson Lake","WATS","60.53586","-150.46186","freshwater"
"S0151","Tern ","TERN ","60.53408","-149.54711","freshwater"
"S0152","Tern Lake","TERN","60.53047","-149.5535","freshwater"
"S0153","Jean Lake","JEAN","60.506","-150.171","freshwater"
"S0154","Engineer Lake","ENG","60.47878","-150.32483","freshwater"
"S0155","Echo Lake","ECHO","60.4375","-151.1611","freshwater"
"S0156","Ruth Lake","RUTH","60.41433","-151.16428","freshwater"
"S0157","Hamina (Lepikoenranta)","HAM","60.3346","27.1133","marine"
"S0158","Kotka (Mussalo)","KOT","60.2705","26.5534","marine"
"S0159","Flotsky Cape","GFFC","60.16158","29.14959","marine"
"S0160","Resurrection Bay","REBA","60.12519","-149.41967","marine"
"S0161","Kristatelka river","KRIS","59.89486","29.83519","marine"
"S0162","Luga River","GFLU","59.64928","28.24668","marine"
"S0163","Petergofa","PET","59.5363","29.5387","marine"
"S0164","Tvaerminne (Hanko)","TVÄ","59.502","23.1215","marine"
"S0165","Nyköping (Sodermanland)","NYK","58.3904","17.0602","marine"
"S0166","Vättern (Motala)","VÄT","58.3846","14.3819","marine"
"S0167","Bering Sea Site C","BERC","58.3525","168.285","marine"
"S0168","Kallviken","KAL","58.15","11.2749","marine"
"S0169","Fiskebäckskil (Vaestra Goetaland)","FIS","58.1405","11.2406","marine"
"S0170","na Buaile","BUAI","57.64693","-7.19801","freshwater"
"S0171","Aonghais ","AONG ","57.64441","-7.2743","freshwater"
"S0172","nan Geireann ","GEIR ","57.64016","-7.29026","freshwater"
"S0173","Eisiadar ","EISI ","57.63194","-7.35404","freshwater"
"S0174","Hosta","HOST","57.62713","-7.490911","freshwater"
"S0175","Iala","IALA","57.6198","-7.20567","freshwater"
"S0176","Fada","FADA","57.61769","-7.20942","freshwater"
"S0177","Grogary","GROG","57.61667","-7.5","freshwater"
"S0178","na Reival","REIV","57.61133","-7.51468","freshwater"
"S0179","Mhic Gille-bhride ","GILL ","57.60198","-7.4098","freshwater"
"S0180","Ob nan Stearnain","OBSM","57.60134","-7.17347","marine"
"S0181","nam Feithean","FEIT","57.6","-7.5","freshwater"
"S0182","Mhic a'Roin ","AROI ","57.59467","-7.43125","freshwater"
"S0183","Chadha Ruaidh ","CHRU ","57.59406","-7.19773","freshwater"
"S0184","an Daimh ","DAIM","57.59317","-7.20924","freshwater"
"S0185","Scadavay","SCAD","57.58447","-7.23599","freshwater"
"S0186","Trosavat ","TROS ","57.5844","-7.41344","freshwater"
"S0187","Sandary","SAND","57.58431","-7.46514","freshwater"
"S0188","Ard Heisker","ARDH","57.579","-7.416","marine"
"S0189","na Moracha ","MORA ","57.57354","-7.27604","freshwater"
"S0190","a'Bharpa","BHAR","57.57086","-7.301972","freshwater"
"S0191","Tormasad ","TORM ","57.56214","-7.31683","freshwater"
"S0192","nan Strùban ","STRU ","57.55828","-7.35253","freshwater"
"S0193","Kolka","KOL","57.4553","22.3527","marine"
"S0194","Bering Sea Site B","BERB","57.25028","166.06694","marine"
"S0195","Bering","BER","57","-175","marine"
"S0196","Mariager Fjord","MAR","56.65364","9.98259","marine"
"S0197","Krobaek","KRO","56.3957","9.34788","freshwater"
"S0198","Mariager Fjord (Midtjylland)","MAR","56.3853","9.5739","marine"
"S0199","Lake Hald","HAL","56.37378","9.34642","freshwater"
"S0200","Hadsten_lake","HAD","56.32014","10.04338","freshwater"
"S0201","Azabachie Lake and Kamchatka River passage","KAAZF","56.20997","161.9837","freshwater"
"S0202","Lake Kursinka","KURS","56.2006","162.03882","freshwater"
"S0203","Irish coast","IRICOA","56.19","-8.99","marine"
"S0204","Bering Sea Site A","BERA","56.06861","167.88389","marine"
"S0205","Kibaek Molledam","KIB","56.03729","8.85673","freshwater"
"S0206","Lake Mosso","MOS","56.02854","9.79747","freshwater"
"S0207","Odder RiverM","OddM","56.00933","10.20485","marine"
"S0208","Norsminde Fjord","NOR","56.00933","10.26291","marine"
"S0209","Odder RiverU","OddU","55.9683","10.13432","freshwater"
"S0210","Copenhagen (Hovedstaden)","COP","55.425","12.3555","marine"
"S0211","Sylt","SYLT","55.02072","8.44144","marine"
"S0212","Nevezis River","NEV","54.38339","25.21525","freshwater"
"S0213","Potok Oliwski","OLI","54.235","18.0342","freshwater"
"S0214","Grus Lake","GRUS","54.11939","-131.67642","freshwater"
"S0215","Anser Lake","ANSER","54.114","-131.686","freshwater"
"S0216","Silver Lake","SILVL","54.10312","-131.68537","freshwater"
"S0217","Kumara Lake","KUMARA","54.09398","-131.67639","freshwater"
"S0218","Mica Lake","MICA","54.08334","-131.71778","freshwater"
"S0219","Lumme Lake","LUMML","54.06342","-131.74812","freshwater"
"S0220","Lumme Outlet","LUMMO","54.05584","-131.76154","freshwater"
"S0221","Red Truck Pond","REDTR","54.04759","-132.19474","marine-freshwater"
"S0222","Rouge Lake","ROUGL","54.03378","-131.87706","freshwater"
"S0223","Rouge Outlet","ROUGO","54.03249","-131.87214","freshwater"
"S0224","Harelda Outlet","HAREO","54.02997","-131.85175","freshwater"
"S0225","Serendipity Pond","SEREN","54.0277","-131.7599","freshwater"
"S0226","Harelda Lake","HAREL","54.02602","-131.84917","freshwater"
"S0227","Naked Lake","NAKED","54.02168","-131.74905","freshwater"
"S0228","Spence Outlet","SPENO","53.97472","-131.7814","freshwater"
"S0229","Solstice Lake","SOLST","53.9405","-131.93124","freshwater"
"S0230","Drizzle Outlet","DRIZO","53.93753","-132.05726","freshwater"
"S0231","Drizzle Lake","DRIZL","53.93407","-132.08176","freshwater"
"S0232","Drizzle Inlet","DRIZI","53.92856","-132.07805","freshwater"
"S0233","Karsibor","KBOR","53.92511","14.30553","marine"
"S0234","Big Fish Pond","BIGFP","53.91925","-132.02693","freshwater"
"S0235","Skonun Outlet","SKONO","53.91902","-132.03011","freshwater"
"S0236","Skonun Lake","SKONL","53.90216","-132.0345","freshwater"
"S0237","Pure Lake","PUREL","53.86976","-132.07956","freshwater"
"S0238","Boulton Lake","BOULL","53.78043","-132.09948","freshwater"
"S0239","Kumdis Lake","KUMDIS","53.76577","-132.17182","freshwater"
"S0240","Watt Lake","WATTL","53.76463","-132.07086","freshwater"
"S0241","Loon Outlet","LOONO","53.7074","-132.10155","freshwater"
"S0242","Loon  Lake","LOONL","53.69872","-132.09755","freshwater"
"S0243","Coates Lake","COATL","53.6686","-132.86453","freshwater"
"S0244","Woodpile Lake","WOODP","53.64712","-132.09833","freshwater"
"S0245","Woodpile Lake","WOODL","53.64712","-132.09784","freshwater"
"S0246","Woodpile Creek","WOODC","53.64431","-132.08231","freshwater"
"S0247","Mayer Lake","MAYEL","53.64277","-132.05672","freshwater"
"S0248","Mayer Outlet","MAYEO","53.63722","-132.03861","freshwater"
"S0249","Gold Creek","GOLDC","53.63199","-132.05363","freshwater"
"S0250","Gold Creek","GOLDC","53.63189","-132.05358","freshwater"
"S0251","Awun Lake","AWUN","53.60011","-132.56688","freshwater"
"S0252","Menyanthes Lake","MENYL","53.59907","-132.96342","freshwater"
"S0253","Tlell Estuary","TLELL","53.57156","-131.93591","marine-freshwater"
"S0254","New Years Lake","NEWY","53.56967","-132.11402","freshwater"
"S0255","Marie Lake","MARIL","53.49779","-132.31938","freshwater"
"S0256","Marie Outlet","MARIO","53.49585","-132.30968","freshwater"
"S0257","Yakoun River Backwater","YAKOUN","53.48903","-132.25126","freshwater"
"S0258","Yakoun Stream","YAKONS","53.37917","-132.27583","freshwater"
"S0259","Yakoun Lake","YAKONL","53.3533","-132.2816","freshwater"
"S0260","Stiu Lake","STIUL","53.24451","-132.58807","freshwater"
"S0261","Dawson Pond","DAWSON","53.22272","-132.48281","freshwater"
"S0262","Sheldon Lagoon","SHELD","53.14663","-131.76036","freshwater"
"S0263","Heather Outlet","HEATO","53.12147","-131.74131","freshwater"
"S0264","Skidegate Outlet","SKIDO","53.11333","-131.8175","freshwater"
"S0265","Skidegate Inlet","SKIDI","53.10834","-132.04637","freshwater"
"S0266","Skidegate Lake","SKIDL","53.10449","-131.9152","freshwater"
"S0267","Mosquito Lake","MOSQL","53.06322","-132.11324","freshwater"
"S0268","Cumshewa Lake","CUMS","53.03629","-131.63697","freshwater"
"S0269","Kultuchnoye","KUL","53.03165","158.64652","marine"
"S0270","Kultuchnoye Lake","KAKU","53.03165","158.64652","marine"
"S0271","Wegner Lake","WEGNER","52.64472","-131.63065","freshwater"
"S0272","Smith Lake ","SMITL","52.63593","-131.63442","freshwater"
"S0273","Poque Lake ","POQUL","52.60178","-131.70335","freshwater"
"S0274","Darwin Lake","DARWL","52.55362","-131.64595","freshwater"
"S0275","Dead Toad Creek","DEADT","52.55213","-131.66321","freshwater"
"S0276","Bissendorf_Germany","DES1","52.23464","8.174167","freshwater"
"S0277","Weser River","RIT","52.20878","8.30228","freshwater"
"S0278","Koeye River estuary","KOER","51.7744","-127.8778","marine"
"S0279","Wuppertal River","WUP","51.5554","7.1007","freshwater"
"S0280","Ozernaya","OZE","51.4968","156.49862","marine"
"S0281","Ozernaya River","KAOZ","51.4968","156.49862","marine"
"S0282","Borssele","BORSEL","51.39442","3.87083","marine"
"S0283","Elbe River","ELB","51.38","12.49","freshwater"
"S0284","Soren Lake","SWA","50.6737","-128.1163","freshwater"
"S0285","Soren Stream","SWAS","50.67021","-128.167411","freshwater"
"S0286","Joes Lake","JOE","50.65494","-127.46909","freshwater"
"S0287","Quatse Lake","QUAL","50.6292","-127.5633","freshwater"
"S0288","Joes Stream","JOES","50.62484","-127.51926","freshwater"
"S0289","Cluxewe Estuary","CLX","50.61197","-127.17624","marine"
"S0290","Misty Lake","MIS","50.61054","-127.26699","freshwater"
"S0291","Misty Stream","MISS","50.60248","-127.25174","freshwater"
"S0292","Beaver Stream","BEAS","50.59298","-127.35046","freshwater"
"S0293","Theimer Stream","THES","50.52739","-126.98333","freshwater"
"S0294","Roselle Lake","ROSL","50.5207","-126.9893","freshwater"
"S0295","Theimer Lake","THE","50.51945","-126.9815","freshwater"
"S0296","Sayward","SALM","50.38635","-125.95353","marine"
"S0297","Pye Outlet Stream","PYES","50.31472","-125.56413","freshwater"
"S0298","unnamed_00089SALM","unn_00089SALM","50.31308","-125.597","freshwater"
"S0299","Snow Lake","SNO","50.31272","-125.59369","freshwater"
"S0300","Lower Stella","LOS","50.30926","-125.53533","freshwater"
"S0301","Bob Lake","BOB","50.30436","-125.52759","freshwater"
"S0302","Pye Lake","PYE","50.28922","-125.602","freshwater"
"S0303","McCreight Lake","MCR","50.28509","-125.64644","freshwater"
"S0304","Tom Lake","TOML","50.2564","-124.9233","freshwater"
"S0305","Stella Lake","STE","50.25314","-125.51789","freshwater"
"S0306","Cecil Lake","CEC","50.23808","-125.54569","freshwater"
"S0307","Roberts Stream","ROBS","50.23389","-125.56785","freshwater"
"S0308","Roberts Lake","ROB","50.22764","-125.55352","freshwater"
"S0309","McNair Lake","MCNL","50.2271","-125.5757","freshwater"
"S0310","Little Mud Lake","LMU","50.20662","-125.55162","freshwater"
"S0311","Muskeg Lake","MUS","50.20176","-125.57425","freshwater"
"S0312","Cedar Lake","CED","50.20151","-125.56392","freshwater"
"S0313","Farewell Lake","FAR","50.20135","-125.58558","freshwater"
"S0314","Big Mud Lake","BMU","50.20091","-125.55537","freshwater"
"S0315","Village Bay Lake","VBL","50.18594","-125.20264","freshwater"
"S0316","Slp","SLP","50.18257","-125.524","freshwater"
"S0317","Ormond Lake","ORML","50.1803","-125.5258","freshwater"
"S0318","Ormond Lake","ORM","50.17987","-125.5244","freshwater"
"S0319","Village Bay Stream","VBLS","50.17188","-125.19774","freshwater"
"S0320","Blackwater Lake","BLWL","50.1713","-125.5908","freshwater"
"S0321","unnamed_00400SALM","unn_00400SALM","50.16177","-125.395","freshwater"
"S0322","Browns Bay Lake","BRB","50.1585","-125.41535","freshwater"
"S0323","unnamed_00403SALM","unn_00403SALM","50.15762","-125.416","freshwater"
"S0324","Amor Lake","AMO","50.15744","-125.57852","freshwater"
"S0325","Comida Lake","COM","50.14496","-125.52823","freshwater"
"S0326","unnamed_00448SALM","unn_00448SALM","50.14076","-125.54","freshwater"
"S0327","Comida Stream","COMS","50.1337","-125.52117","freshwater"
"S0328","unnamed_00508SALM","unn_00508SALM","50.12837","-125.521","freshwater"
